Species,Estimated population,Fraction Population in PA1,Fraction Population in PA2,Fraction Population lost 2013,Fraction Population lost 2050 BAU,Fraction Population lost 2050 IGS,Fraction Population lost PA 2013,Fraction Population lost PA 2050 BAU,Fraction Population lost PA 2050 IGS,IUCN2013,IUCN2050BAU,IUCN2050IGS,,,,,last modified 02/07/2015
Ouratea candollei,3713589,0.189,0.329,0.006,0.121,0.026,0.000,0.101,0.011,,,,,,,,
Guatteria ferruginea,3708012,0.203,0.451,0.015,0.039,0.037,0.000,0.011,0.016,,,,,,,,
Homalium racemosum,3693971,0.049,0.494,0.088,0.631,0.265,0.002,0.284,0.061,,EN,,,,,,
Bertiera guianensis,3692723,0.219,0.444,0.040,0.116,0.063,0.001,0.033,0.011,,,,,,,,
Mezilaurus campaucola,3682871,0.052,0.332,0.063,0.309,0.233,0.001,0.062,0.045,,VU,,,,,,
Bougainvillea modesta,3681666,0.089,0.253,0.164,0.568,0.378,0.001,0.096,0.019,,EN,VU,,,,,
Cordia mexiana,3676346,0.074,0.412,0.029,0.101,0.068,0.000,0.032,0.021,,,,,,,,
Hortia coccinea,3674009,0.067,0.270,0.096,0.217,0.174,0.006,0.067,0.057,,,,,,,,
Myrcia decorticans,3673141,0.125,0.188,0.010,0.246,0.143,0.000,0.100,0.032,,,,,,,,
Endlicheria robusta,3672590,0.004,0.655,0.092,0.679,0.253,0.003,0.386,0.068,,EN,,,,,,
Ocotea fendleri,3671711,0.051,0.351,0.344,0.676,0.421,0.001,0.164,0.024,VU,EN,VU,,,,,
Cordia ripicola,3667547,0.169,0.187,0.121,0.302,0.238,0.001,0.040,0.034,,VU,,,,,,
Dalbergia ecastaphyllum,3664406,0.094,0.469,0.015,0.012,0.005,0.000,0.003,0.000,,,,,,,,
Sloanea parvifructa,3662353,0.147,0.574,0.013,0.048,0.041,0.000,0.018,0.023,,,,,,,,
Tabernaemontana macrocalyx,3658676,0.090,0.567,0.021,0.273,0.087,0.000,0.148,0.031,,,,,,,,
Aiouea maguireana,3641476,0.028,0.416,0.062,0.584,0.283,0.001,0.180,0.065,,EN,,,,,,
Caraipa rodriguesii,3640340,0.063,0.382,0.056,0.649,0.369,0.000,0.183,0.059,,EN,VU,,,,,
Zygia unifoliolata,3637463.656,0.109555769,0.494158956,0.050109354,0.199002622,0.11202842,0.003238083,0.072577456,0.041682527,,,,,,,,
Eschweilera congestiflora,3637002,0.259,0.212,0.010,0.290,0.117,0.000,0.187,0.039,,,,,,,,
Aiouea longipetiolata,3636199,0.405,0.349,0.004,0.224,0.030,0.000,0.208,0.020,,,,,,,,
Ouratea scottii,3627982,0.235,0.317,0.006,0.132,0.027,0.000,0.112,0.012,,,,,,,,
Guarea velutina,3611545,0.069,0.544,0.068,0.483,0.221,0.001,0.236,0.067,,VU,,,,,,
Guatteria maypurensis,3607862,0.058,0.339,0.048,0.211,0.129,0.002,0.070,0.028,,,,,,,,
Miconia fragilis,3606273,0.138,0.249,0.217,0.442,0.289,0.002,0.081,0.021,,VU,,,,,,
Tachigali pubiflora,3601671,0.032,0.238,0.335,0.707,0.405,0.000,0.103,0.014,VU,EN,VU,,,,,
Aniba permollis,3595426,0.076,0.466,0.051,0.616,0.263,0.000,0.292,0.098,,EN,,,,,,
Catostemma milanezii,3594666,0.025,0.425,0.026,0.318,0.165,0.000,0.092,0.036,,VU,,,,,,
Myrcia cuprea,3588465,0.125,0.410,0.068,0.423,0.195,0.001,0.150,0.027,,VU,,,,,,
Bourreria cumanensis,3581922,0.097,0.481,0.015,0.012,0.005,0.000,0.003,0.000,,,,,,,,
Plinia duplipilosa,3577119,0.166,0.233,0.079,0.245,0.098,0.006,0.029,0.013,,,,,,,,
Klarobelia candida,3572741,0.194,0.397,0.037,0.225,0.124,0.001,0.062,0.031,,,,,,,,
Cynophalla flexuosa,3566579,0.102,0.474,0.016,0.020,0.010,0.000,0.005,0.002,,,,,,,,
Pachira dolichocalyx,3566071,0.202,0.182,0.011,0.283,0.143,0.000,0.145,0.036,,,,,,,,
Elaeagia maguirei,3563691,0.222,0.437,0.023,0.053,0.046,0.000,0.013,0.018,,,,,,,,
Annona excellens,3560640,0.133,0.516,0.041,0.156,0.104,0.002,0.057,0.039,,,,,,,,
Myrcia obumbrans,3558655,0.081,0.251,0.309,0.596,0.407,0.007,0.105,0.028,VU,EN,VU,,,,,
Talisia acutifolia,3558034,0.058,0.488,0.250,0.458,0.282,0.005,0.125,0.035,,VU,,,,,,
Rhabdodendron macrophyllum,3554362,0.032,0.489,0.074,0.606,0.286,0.002,0.243,0.090,,EN,,,,,,
Ternstroemia urophora,3545579,0.052,0.427,0.016,0.652,0.267,0.000,0.309,0.118,,EN,,,,,,
Henriettea succosa,3543382,0.015,0.487,0.223,0.697,0.365,0.009,0.271,0.058,,EN,VU,,,,,
Aenigmatanthera lasiandra,3542996,0.188,0.246,0.147,0.269,0.176,0.001,0.026,0.004,,,,,,,,
Vochysia schomburgkii,3542151.463,0.021091377,0.15036973,0.129025968,0.396271181,0.295437018,0.004757639,0.061439878,0.027235161,,VU,,,,,,
Siparuna obstipa,3541518,0.112,0.426,0.013,0.046,0.043,0.000,0.022,0.018,,,,,,,,
Stylogyne ardisioides,3538800,0.220,0.296,0.081,0.270,0.168,0.002,0.060,0.031,,,,,,,,
Lacmellea gracilis,3535934,0.059,0.420,0.038,0.471,0.250,0.001,0.144,0.060,,VU,,,,,,
Diospyros manausensis,3535112,0.062,0.343,0.009,0.174,0.075,0.000,0.041,0.013,,,,,,,,
Coccoloba striata,3530278,0.096,0.478,0.015,0.012,0.005,0.000,0.003,0.000,,,,,,,,
Ocotea cuneifolia,3517644,0.262,0.281,0.048,0.106,0.087,0.001,0.015,0.016,,,,,,,,
Coccoloba charitostachya,3500700,0.066,0.335,0.007,0.113,0.052,0.000,0.035,0.008,,,,,,,,
Caraipa costata,3495376,0.043,0.419,0.026,0.534,0.266,0.000,0.166,0.060,,EN,,,,,,
Licania adolphoduckei,3490227,0.043,0.405,0.040,0.538,0.283,0.001,0.169,0.068,,EN,,,,,,
Himatanthus phagedaenicus,3489288,0.017,0.394,0.088,0.262,0.152,0.001,0.067,0.020,,,,,,,,
Inga stipulacea,3488726,0.142,0.416,0.040,0.274,0.149,0.001,0.066,0.035,,,,,,,,
Cupania rubiginosa,3485473,0.130,0.358,0.018,0.308,0.154,0.000,0.143,0.047,,VU,,,,,,
Schoepfia lucida,3483699,0.102,0.318,0.176,0.322,0.221,0.002,0.046,0.018,,VU,,,,,,
Kutchubaea semisericea,3481244,0.080,0.393,0.045,0.237,0.136,0.001,0.055,0.024,,,,,,,,
Allophylus glabratus,3478643,0.202,0.419,0.036,0.203,0.110,0.001,0.060,0.029,,,,,,,,
Homalium albiflorum,3476686,0.128,0.427,0.039,0.389,0.161,0.000,0.158,0.030,,VU,,,,,,
Handroanthus chrysanthus,3476673,0.085,0.432,0.068,0.325,0.202,0.000,0.101,0.034,,VU,,,,,,
Pentagonia amazonica,3466474,0.115,0.207,0.091,0.238,0.189,0.002,0.029,0.023,,,,,,,,
Caraipa odorata,3457935,0.153,0.649,0.024,0.154,0.062,0.001,0.073,0.021,,,,,,,,
Tovomita guianensis,3455107.066,0.082395548,0.485384021,0.047849996,0.185839039,0.108255936,0.002519275,0.06916241,0.037211834,,,,,,,,
Antrocaryon amazonicum,3452063,0.088,0.246,0.290,0.593,0.419,0.005,0.112,0.038,,EN,VU,,,,,
Talisia praealta,3448356,0.174,0.257,0.028,0.330,0.175,0.000,0.148,0.046,,VU,,,,,,
Cheiloclinium anomalum,3444690,0.054,0.282,0.389,0.636,0.492,0.018,0.074,0.037,VU,EN,VU,,,,,
Trichilia bullata,3443656.691,0.015013998,0.605088121,0.049057856,0.64600974,0.196942839,0.00042214,0.376812479,0.065631775,,EN,,,,,,
Senegalia hayesii,3433410,0.099,0.467,0.032,0.091,0.053,0.001,0.033,0.018,,,,,,,,
Vitex gigantea,3431445.676,0.133091169,0.290249664,0.241568559,0.399304526,0.27165497,0.001506684,0.046603921,0.009156288,,VU,,,,,,
Caryocar edule,3430797,0.045,0.352,0.017,0.529,0.220,0.000,0.191,0.080,,EN,,,,,,
Protium duckei,3421961,0.028,0.566,0.053,0.657,0.203,0.000,0.358,0.060,,EN,,,,,,
Diospyros sericea,3413530,0.025,0.214,0.388,0.705,0.462,0.007,0.047,0.013,VU,EN,VU,,,,,
Cecropia marginalis,3403495,0.121,0.135,0.155,0.429,0.339,0.007,0.047,0.030,,VU,VU,,,,,
Macrolobium guianense,3403188,0.136,0.145,0.014,0.258,0.181,0.000,0.075,0.025,,,,,,,,
Tovomita rostrata,3400925.988,0.236786316,0.20293128,0.008430287,0.243379256,0.105530055,0,0.15012099,0.031171824,,,,,,,,
Endlicheria melinonii,3397917,0.226,0.215,0.011,0.291,0.137,0.000,0.146,0.030,,,,,,,,
Licania humilis,3397727,0.012,0.225,0.376,0.749,0.448,0.012,0.065,0.016,VU,EN,VU,,,,,
Pleurisanthes flava,3393186,0.123,0.617,0.007,0.033,0.024,0.000,0.014,0.014,,,,,,,,
Balizia elegans,3386304,0.047,0.439,0.054,0.530,0.296,0.000,0.187,0.071,,EN,,,,,,
Spongiosperma grandiflorum,3357615,0.019,0.326,0.165,0.756,0.314,0.003,0.178,0.024,,EN,VU,,,,,
Eugenia gongylocarpa,3348950,0.114,0.215,0.013,0.195,0.131,0.000,0.030,0.011,,,,,,,,
Hortia longifolia,3333883,0.069,0.592,0.021,0.246,0.091,0.001,0.098,0.031,,,,,,,,
Eugenia agathopoda,3332821,0.032,0.409,0.040,0.463,0.226,0.001,0.159,0.058,,VU,,,,,,
Hirtella magnifolia,3328639,0.088,0.460,0.068,0.208,0.136,0.003,0.068,0.041,,,,,,,,
Schistostemon densiflorum,3320767,0.021,0.150,0.129,0.396,0.295,0.005,0.061,0.027,,VU,,,,,,
Tachigali densiflora,3317258,0.144,0.619,0.037,0.544,0.121,0.000,0.379,0.034,,EN,,,,,,
Pouteria calistophylla,3307990,0.122,0.279,0.071,0.177,0.140,0.001,0.024,0.024,,,,,,,,
Pseudoxandra lucida,3306881,0.015,0.605,0.049,0.646,0.197,0.000,0.377,0.066,,EN,,,,,,
Micropholis sanctae-rosae,3303633,0.268,0.165,0.081,0.368,0.194,0.004,0.112,0.038,,VU,,,,,,
Duguetia duckei,3301370,0.014,0.166,0.618,0.848,0.656,0.014,0.041,0.031,EN,CR,EN,,,,,
Swartzia vaupesiana,3298056,0.138,0.472,0.015,0.237,0.083,0.000,0.079,0.025,,,,,,,,
Meliosma palustris,3296325,0.044,0.333,0.035,0.185,0.114,0.001,0.045,0.026,,,,,,,,
Coccoloba colombiana,3294418,0.140,0.461,0.033,0.301,0.152,0.001,0.076,0.039,,VU,,,,,,
Malouetia flavescens,3282660,0.028,0.245,0.310,0.578,0.345,0.007,0.045,0.011,VU,EN,VU,,,,,
Catostemma albuquerquei,3280485,0.046,0.456,0.036,0.527,0.277,0.000,0.191,0.080,,EN,,,,,,
Inga plumifera,3279321,0.218,0.572,0.011,0.029,0.028,0.000,0.012,0.016,,,,,,,,
Pithecellobium auriculatum,3272606,0.080,0.483,0.046,0.181,0.106,0.002,0.068,0.037,,,,,,,,
Croton pullei,3268787,0.048,0.368,0.032,0.166,0.085,0.000,0.092,0.038,,,,,,,,
Swartzia simplex,3268013,0.064,0.402,0.107,0.323,0.195,0.002,0.102,0.032,,VU,,,,,,
Ficus cremersii,3251558,0.051,0.433,0.036,0.620,0.274,0.001,0.274,0.114,,EN,,,,,,
Tachigali reticulosa,3250036,0.147,0.569,0.022,0.091,0.059,0.001,0.045,0.031,,,,,,,,
Annona muricata,3238694,0.035,0.333,0.076,0.315,0.166,0.002,0.060,0.019,,VU,,,,,,
Cordia fulva,3237156,0.030,0.300,0.007,0.095,0.029,0.000,0.041,0.007,,,,,,,,
Coccoloba acuminata,3216782,0.110,0.591,0.047,0.146,0.110,0.003,0.067,0.046,,,,,,,,
Swartzia conferta,3215647,0.060,0.535,0.017,0.136,0.055,0.000,0.061,0.021,,,,,,,,
Tabernaemontana catharinensis,3207746,0.104,0.278,0.153,0.365,0.220,0.002,0.055,0.015,,VU,,,,,,
Simarouba glauca,3207408,0.138,0.627,0.038,0.545,0.121,0.000,0.380,0.033,,EN,,,,,,
Swartzia manausensis,3206729,0.012,0.635,0.054,0.639,0.199,0.001,0.380,0.067,,EN,,,,,,
Sloanea monosperma,3204849,0.141,0.288,0.037,0.138,0.103,0.001,0.033,0.023,,,,,,,,
Bactris major,3200857,0.028,0.145,0.526,0.850,0.668,0.024,0.075,0.039,EN,CR,EN,,,,,
Acinodendron regelii,3195059,0.016,0.609,0.055,0.649,0.209,0.001,0.371,0.066,,EN,,,,,,
Carpotroche amazonica,3188356,0.034,0.307,0.013,0.113,0.047,0.000,0.035,0.008,,,,,,,,
Cremastosperma cauliflorum,3183332,0.051,0.475,0.030,0.139,0.077,0.001,0.046,0.024,,,,,,,,
Miconia mattogrossensis,3181072,0.006,0.637,0.069,0.666,0.251,0.001,0.370,0.081,,EN,,,,,,
Poraqueiba paraensis,3180446,0.188,0.553,0.037,0.164,0.101,0.005,0.077,0.058,,,,,,,,
Pleurothyrium williamsii,3176756,0.187,0.206,0.111,0.289,0.213,0.003,0.034,0.025,,,,,,,,
Senegalia alemquerensis,3169434,0.121,0.383,0.211,0.586,0.290,0.003,0.191,0.019,,EN,,,,,,
Calyptranthes ruiziana,3164967,0.136,0.553,0.022,0.074,0.055,0.000,0.020,0.018,,,,,,,,
Blepharocalyx eggersii,3157791,0.031,0.537,0.045,0.579,0.242,0.000,0.276,0.073,,EN,,,,,,
Henriettea spruceana,3154988,0.118,0.223,0.068,0.136,0.066,0.001,0.016,0.012,,,,,,,,
Isertia laevis,3151190,0.158,0.452,0.041,0.139,0.086,0.001,0.045,0.026,,,,,,,,
Ficus trigonata,3151018,0.126,0.400,0.069,0.227,0.141,0.002,0.062,0.033,,,,,,,,
Byrsonima altissima,3148014,0.062,0.161,0.466,0.781,0.605,0.025,0.112,0.053,VU,EN,EN,,,,,
Guatteria wachenheimi,3146166,0.223,0.222,0.013,0.350,0.175,0.000,0.196,0.057,,VU,,,,,,
Tabernaemontana vanheurckii,3144955,0.025,0.292,0.147,0.609,0.362,0.007,0.113,0.044,,EN,VU,,,,,
Unonopsis elegantissima,3143411.483,0.112846602,0.347215221,0.030343294,0.067103535,0.06011623,0.000319582,0.013579522,0.015815419,,,,,,,,
Dictyocaryum ptarianum,3137935,0.181,0.570,0.013,0.037,0.035,0.000,0.014,0.019,,,,,,,,
Matayba camptoneura,3136130,0.010,0.237,0.021,0.051,0.035,0.000,0.007,0.007,,,,,,,,
Guarea fissicalyx,3135447,0.206,0.187,0.102,0.250,0.193,0.002,0.027,0.022,,,,,,,,
Swartzia sprucei,3129660,0.141,0.489,0.040,0.213,0.148,0.004,0.080,0.061,,,,,,,,
Pradosia granulosa,3126262,0.021,0.364,0.429,0.755,0.459,0.012,0.182,0.031,VU,EN,VU,,,,,
Pleurothyrium cuneifolium,3126055,0.134,0.269,0.056,0.284,0.186,0.001,0.050,0.027,,,,,,,,
Acioa schultesii,3123853,0.128,0.519,0.050,0.249,0.167,0.003,0.091,0.056,,,,,,,,
Ormosia fastigiata,3120784,0.053,0.356,0.178,0.498,0.296,0.002,0.119,0.027,,VU,,,,,,
Pouteria amygdalicarpa,3120215,0.033,0.283,0.019,0.050,0.044,0.001,0.014,0.012,,,,,,,,
Tachigali aurea,3103851,0.009,0.376,0.309,0.584,0.350,0.003,0.044,0.014,VU,EN,VU,,,,,
Licania rufescens,3101691,0.044,0.303,0.394,0.720,0.541,0.030,0.147,0.074,VU,EN,EN,,,,,
Pouteria tarapotensis,3098193,0.192,0.338,0.045,0.313,0.187,0.002,0.070,0.033,,VU,,,,,,
Tachigali cavipes,3097540,0.097,0.435,0.017,0.168,0.087,0.000,0.096,0.031,,,,,,,,
Albizia multiflora,3096810,0.030,0.335,0.204,0.698,0.340,0.002,0.172,0.018,,EN,VU,,,,,
Licania leucosepala,3096022,0.057,0.275,0.032,0.099,0.080,0.002,0.021,0.017,,,,,,,,
Myrcia inaequiloba,3096022,0.057,0.275,0.032,0.099,0.080,0.002,0.021,0.017,,,,,,,,
Neocalyptrocalyx maroniensis,3090790,0.265,0.262,0.007,0.216,0.074,0.000,0.157,0.027,,,,,,,,
Tovomita carinata,3086417.032,0.112213842,0.582943293,0.008636296,0.164922396,0.074016599,0,0.075178276,0.031806625,,,,,,,,
Gustavia macarenensis,3085281,0.030,0.256,0.026,0.094,0.072,0.001,0.020,0.018,,,,,,,,
Cestrum megalophyllum,3079750,0.185,0.201,0.129,0.372,0.281,0.004,0.050,0.032,,VU,,,,,,
Miconia lamprophylla,3073908,0.085,0.303,0.049,0.132,0.102,0.001,0.023,0.021,,,,,,,,
Guatteria meliodora,3066393,0.049,0.405,0.042,0.437,0.232,0.001,0.134,0.055,,VU,,,,,,
Meliosma vasquezii,3066212,0.130,0.420,0.050,0.151,0.101,0.001,0.039,0.023,,,,,,,,
Loreya ovata,3064788,0.173,0.479,0.006,0.020,0.026,0.000,0.010,0.014,,,,,,,,
Cassia spruceana,3063074,0.134,0.401,0.024,0.493,0.201,0.000,0.245,0.080,,VU,,,,,,
Annona mucosa,3060160,0.147,0.323,0.042,0.336,0.193,0.001,0.079,0.033,,VU,,,,,,
Diospyros cauligera,3058908,0.106,0.603,0.042,0.140,0.103,0.003,0.065,0.043,,,,,,,,
Pouteria benai,3056850,0.256,0.221,0.009,0.275,0.111,0.000,0.177,0.039,,,,,,,,
Schefflera umbrosa,3041076,0.010,0.513,0.006,0.068,0.020,0.000,0.016,0.004,,,,,,,,
Siparuna sessiliflora,3033356,0.152,0.247,0.072,0.218,0.091,0.005,0.028,0.014,,,,,,,,
Qualea cyanea,3030856,0.046,0.451,0.069,0.504,0.297,0.000,0.190,0.062,,EN,,,,,,
Protium ex-protiumcatuabum,3029074,0.061,0.518,0.032,0.519,0.283,0.000,0.239,0.115,,EN,,,,,,
Eugenia rufidula,3021191,0.097,0.559,0.067,0.591,0.183,0.000,0.313,0.023,,EN,,,,,,
Ixora killipii,3016664,0.118,0.200,0.110,0.297,0.234,0.004,0.035,0.026,,,,,,,,
Dimorphandra coccinea,3013127,0.175,0.677,0.011,0.071,0.023,0.000,0.048,0.014,,,,,,,,
Froesia gereauana,3009925,0.113,0.623,0.034,0.185,0.102,0.002,0.107,0.054,,,,,,,,
Ormosia arborea,2998150,0.017,0.284,0.274,0.537,0.316,0.001,0.032,0.011,,EN,VU,,,,,
Swartzia multijuga,2996907,0.120,0.223,0.064,0.161,0.129,0.001,0.021,0.018,,,,,,,,
Diospyros hispida,2996827,0.064,0.171,0.388,0.699,0.445,0.014,0.057,0.022,VU,EN,VU,,,,,
Quiina oiapocensis,2989732,0.196,0.150,0.011,0.270,0.135,0.000,0.119,0.024,,,,,,,,
Ficus krukovii,2987961,0.145,0.164,0.168,0.422,0.327,0.002,0.059,0.045,,VU,VU,,,,,
Ouratea macrobotrys,2986521,0.020,0.357,0.160,0.739,0.310,0.002,0.195,0.026,,EN,VU,,,,,
Duguetia stenantha,2984913,0.049,0.503,0.023,0.107,0.054,0.001,0.040,0.020,,,,,,,,
Oenocarpus balickii,2983645,0.095,0.433,0.061,0.256,0.156,0.002,0.071,0.036,,,,,,,,
Ficus pallida,2982585,0.106,0.417,0.036,0.134,0.093,0.002,0.053,0.033,,,,,,,,
Zanthoxylum caribaeum,2979604.183,0.089365883,0.458839007,0.025309203,0.048353601,0.034327458,0.000221421,0.012466131,0.008787295,,,,,,,,
Machaerium pilosum,2977270,0.129,0.254,0.149,0.440,0.291,0.001,0.068,0.014,,VU,,,,,,
Tabebuia stenocalyx,2969429,0.059,0.378,0.015,0.002,0.001,0.000,0.000,0.000,,,,,,,,
Bactris elegans,2967424,0.117,0.362,0.202,0.715,0.424,0.003,0.278,0.098,,EN,VU,,,,,
Virola macrocarpa,2966734.012,0.176627712,0.679050373,0.010753211,0.072449697,0.023685871,0.000294414,0.048425246,0.013954321,,,,,,,,
Quiina attenuata,2965933,0.084,0.485,0.048,0.186,0.109,0.003,0.069,0.037,,,,,,,,
Inga multijuga,2962811,0.129,0.318,0.079,0.193,0.148,0.001,0.029,0.024,,,,,,,,
Annona herzogii,2958149,0.070,0.270,0.156,0.604,0.399,0.001,0.107,0.019,,EN,VU,,,,,
Couepia cognata,2957402,0.090,0.199,0.042,0.146,0.113,0.002,0.030,0.021,,,,,,,,
Annona symphyocarpa,2956747,0.075,0.451,0.028,0.088,0.059,0.002,0.037,0.023,,,,,,,,
Siparuna cervicornis,2948805,0.129,0.186,0.134,0.321,0.245,0.005,0.042,0.032,,VU,,,,,,
Mouriri dimorphandra,2944678,0.041,0.385,0.045,0.569,0.302,0.001,0.173,0.069,,EN,VU,,,,,
Spachea tricarpa,2944591,0.032,0.533,0.010,0.076,0.028,0.000,0.027,0.011,,,,,,,,
Swartzia bombycina,2944426,0.162,0.193,0.127,0.339,0.258,0.004,0.038,0.028,,VU,,,,,,
Eugenia roseiflora,2941469,0.032,0.533,0.010,0.076,0.028,0.000,0.027,0.011,,,,,,,,
Dimorphandra multiflora,2938900,0.150,0.325,0.038,0.308,0.159,0.001,0.126,0.044,,VU,,,,,,
Abarema curvicarpa,2938461,0.311,0.390,0.007,0.275,0.091,0.000,0.203,0.044,,,,,,,,
Hortia superba,2935298,0.053,0.538,0.032,0.511,0.225,0.000,0.242,0.073,,EN,,,,,,
Ouratea polyantha,2933354,0.164,0.509,0.042,0.091,0.079,0.001,0.017,0.019,,,,,,,,
Psidium guineense,2930338,0.081,0.461,0.055,0.656,0.273,0.000,0.321,0.104,,EN,,,,,,
Nectandra gracilis,2926134,0.124,0.191,0.060,0.239,0.184,0.001,0.017,0.016,,,,,,,,
Couepia habrantha,2925565,0.062,0.476,0.035,0.550,0.242,0.000,0.259,0.076,,EN,,,,,,
Kutchubaea oocarpa,2922696,0.084,0.450,0.132,0.468,0.244,0.001,0.173,0.041,,VU,,,,,,
Cremastosperma megalophyllum,2918081,0.035,0.185,0.028,0.082,0.063,0.001,0.013,0.012,,,,,,,,
Miconia acuminata,2912343,0.225,0.174,0.009,0.257,0.120,0.000,0.141,0.027,,,,,,,,
Caryodaphnopsis tomentosa,2911125,0.106,0.354,0.045,0.116,0.090,0.001,0.021,0.017,,,,,,,,
Salacia spectabilis,2901424,0.104,0.326,0.013,0.197,0.079,0.000,0.040,0.002,,,,,,,,
Licania amapaensis,2898368,0.232,0.442,0.035,0.141,0.061,0.000,0.076,0.018,,,,,,,,
Mezilaurus subcordata,2890486,0.153,0.317,0.042,0.376,0.177,0.001,0.071,0.017,,VU,,,,,,
Bonafousia attenuata,2887270,0.124,0.211,0.018,0.251,0.155,0.000,0.103,0.035,,,,,,,,
Coussarea platyphylla,2883807,0.114,0.244,0.266,0.511,0.337,0.003,0.044,0.014,,EN,VU,,,,,
Aptandra liriosmoides,2881132,0.100,0.646,0.035,0.188,0.106,0.002,0.110,0.056,,,,,,,,
Campomanesia lineatifolia,2878486,0.113,0.447,0.059,0.465,0.180,0.001,0.233,0.049,,VU,,,,,,
Eugenia polystachya,2868371,0.024,0.459,0.238,0.668,0.358,0.005,0.221,0.065,,EN,VU,,,,,
Stachyarrhena penduliflora,2863201,0.212,0.464,0.030,0.069,0.058,0.000,0.014,0.015,,,,,,,,
Copaifera oblongifolia,2860217,0.011,0.312,0.007,0.082,0.024,0.000,0.031,0.005,,,,,,,,
Diospyros longistyla,2857065,0.012,0.278,0.005,0.079,0.025,0.000,0.031,0.005,,,,,,,,
Schefflera confusa,2857065,0.012,0.278,0.005,0.079,0.025,0.000,0.031,0.005,,,,,,,,
Fridericia nigrescens,2855508,0.004,0.720,0.052,0.655,0.240,0.001,0.428,0.096,,EN,,,,,,
Swartzia caudata,2853752,0.132,0.110,0.111,0.206,0.107,0.001,0.026,0.018,,,,,,,,
Piper tuberculatum,2846059,0.184,0.159,0.162,0.333,0.272,0.001,0.042,0.039,,VU,,,,,,
Cochlospermum vitifolium,2845990,0.083,0.463,0.026,0.050,0.028,0.000,0.012,0.003,,,,,,,,
Cochlospermum regium,2843903,0.078,0.443,0.170,0.568,0.303,0.001,0.213,0.049,,EN,VU,,,,,
Mabea subserrulata,2842846,0.013,0.284,0.005,0.082,0.026,0.000,0.032,0.006,,,,,,,,
Vismia pozuzoensis,2839023.541,0.049073629,0.472966697,0.027333435,0.098909623,0.058121545,0.000910119,0.037436688,0.023015509,,,,,,,,
Talisia firma,2830491,0.080,0.472,0.039,0.292,0.162,0.002,0.100,0.048,,,,,,,,
Unonopsis magnifolia,2829072.485,0.285051694,0.090337709,0.116734225,0.424997655,0.23396569,0.006413349,0.05990368,0.031026622,,VU,,,,,,
Pouteria resinosa,2828334,0.050,0.503,0.031,0.510,0.264,0.000,0.209,0.090,,EN,,,,,,
Pourouma floccosa,2820566,0.076,0.369,0.054,0.169,0.115,0.001,0.031,0.019,,,,,,,,
Aspidosperma capitatum,2819551,0.032,0.534,0.010,0.075,0.028,0.000,0.027,0.011,,,,,,,,
Hirtella tocantina,2818938,0.034,0.377,0.211,0.724,0.337,0.003,0.198,0.027,,EN,VU,,,,,
Abuta imene,2818683,0.046,0.624,0.056,0.544,0.186,0.001,0.331,0.064,,EN,,,,,,
Cojoba arborea,2811585,0.169,0.303,0.081,0.175,0.116,0.001,0.048,0.024,,,,,,,,
Cybianthus amplus,2808719,0.071,0.270,0.116,0.398,0.317,0.001,0.062,0.046,,VU,VU,,,,,
Guatteria microsperma,2806592,0.054,0.144,0.556,0.778,0.635,0.035,0.092,0.058,EN,EN,EN,,,,,
Ouratea polygyna,2798789,0.116,0.330,0.119,0.676,0.270,0.001,0.220,0.039,,EN,,,,,,
Acalypha stricta,2795982,0.156,0.438,0.040,0.152,0.092,0.001,0.050,0.028,,,,,,,,
Thyrsodium bolivianum,2791098,0.126,0.284,0.091,0.480,0.292,0.002,0.099,0.043,,VU,,,,,,
Mezilaurus palcazuensis,2788852,0.051,0.486,0.139,0.278,0.232,0.006,0.085,0.070,,,,,,,,
Apeiba uittienii,2783330,0.142,0.377,0.047,0.170,0.136,0.004,0.034,0.027,,,,,,,,
Inga nouragensis,2772054,0.233,0.201,0.009,0.243,0.106,0.000,0.146,0.031,,,,,,,,
Trichilia catigua,2770781.327,0.094363317,0.230016188,0.269259026,0.589469752,0.343240867,4.86837E-05,0.089058773,0.017373551,,EN,VU,,,,,
Cryptocarya yasuniensis,2764713,0.209,0.159,0.116,0.329,0.229,0.004,0.039,0.026,,VU,,,,,,
Mouriri francavillana,2763239,0.290,0.306,0.141,0.525,0.213,0.006,0.233,0.023,,EN,,,,,,
Heisteria perianthomega,2760089,0.056,0.298,0.009,0.053,0.021,0.000,0.011,0.001,,,,,,,,
Ficus boliviana,2748400,0.257,0.253,0.140,0.282,0.184,0.001,0.045,0.018,,,,,,,,
Sloanea multiflora,2741933,0.122,0.392,0.060,0.192,0.140,0.001,0.032,0.024,,,,,,,,
Erythroxylum daphnites,2735836,0.181,0.266,0.152,0.266,0.177,0.001,0.028,0.005,,,,,,,,
Garcinia longifolia,2735276,0.108,0.509,0.038,0.138,0.088,0.002,0.051,0.034,,,,,,,,
Votomita guianensis,2728766.841,0.193325558,0.15090878,0.011814763,0.271822371,0.138435325,0,0.120833623,0.023452939,,,,,,,,
Campomanesia neriiflora,2727009,0.006,0.382,0.451,0.759,0.461,0.008,0.177,0.027,VU,EN,VU,,,,,
Anaxagorea rufa,2724635,0.112,0.551,0.033,0.294,0.184,0.002,0.107,0.058,,,,,,,,
Magnolia rimachii,2724181,0.053,0.321,0.034,0.110,0.084,0.001,0.023,0.019,,,,,,,,
